,Course Title,Instructor,Rating,No of students who gave rating,Hours to complete course,No of Lectures,Level,Image link,Course URL,Description,Discounted Price,Price,Category,Subcategory,Sub subcategory
1651,Application security on AWS with Amazon Cognito (June 2017),Mahmoud Matouk,4.4,541,2 total hours,16 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/amazon-cognito/,Closer look at Amazon Cognito user pools and identity federation for applications security on Amazon Web Services,₹385,"₹3,200",Development,Web Development,Amazon Cognito
1652,From 0 to 1: Design Patterns - 24 That Matter - In Java,Loony Corn,4.2,540,11.5 total hours,63 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/from-0-to-1-design-patterns/,"An intensely practical, deeply thoughtful and quirky look at 24 Design Patterns. Instructors are ex-Google, Stanford.",₹385,"₹6,400",Development,Software Engineering,Java
1653,Load Testing Using HP LoadRunner 12,Mentors Net,4.3,540,11 total hours,91 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/loadrunner12/,In this course we will use HP LoadRunner 12 to load test a web application.,₹385,"₹8,640",Development,Software Testing,LoadRunner
1654,Azure MasterClass: Manage Azure Cloud with ARM Templates,"TetraNoodle Team, Manuj Aggarwal",3.2,539,3.5 total hours,42 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/azure-masterclass-manage-azure-cloud-with-arm-templates/,Automate management and deployment of Azure cloud resources using Azure resource manager and ARM templates,₹385,"₹8,640",Development,Software Development Tools,Microsoft Azure
1655,"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",Le Deng,4.2,539,20.5 total hours,89 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/build-angular-2-complete-e-comerce-app-java-spring-mysql/,A Comprehensive Project with Step-By-Step Guide on latest Angular 2 Ecosystem and Java Spring Framework Ecosystem,₹385,"₹8,640",Development,Web Development,Spring Framework
1656,Master HTML:5 from very beginner to Pro,Jahangeer Shah,4.3,539,4 total hours,30 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/master-html5-from-very-beginner-to-pro/,The smart way to learn HTML:5 from basic to advanced level,₹385,"₹1,280",Development,Web Development,HTML5
1657,Oracle Fusion Technical-Business Intelligence & OTBI Reports,Ravinder Reddy Guduru,4.3,539,19 total hours,75 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/oracle-fusion-technical-bi-publisher-reports/,Oracle Fusion(Oracle Cloud) Techincal Training SAAS (R13 ) - Bi Publisher Reports For Oracle Apps Technical Developers,₹385,"₹6,080",Development,Software Development Tools,Business Intelligence
1658,CDI/CD with TeamCity From Beginner to Advanced,Aref K.,4.5,538,7 total hours,41 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/teamcity-2017-build-and-deploy-the-modern-way/,Continuous Integration and Delivery (CI/CD) with TeamCity for Developers and DevOps,₹385,"₹8,000",Development,Software Engineering,TeamCity
1659,Hibernate: Advanced Development Techniques,"Chad Darby, Harinath Kuntamukkala",4.8,538,3.5 total hours,42 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/hibernate-tutorial-advanced/,"Learn Advanced Hibernate techniques for Mapping Sets, Lists, Embeddable, Enums and Inheritance",₹385,"₹8,640",Development,Programming Languages,Hibernate
1660,Understanding NPM - Node.js Package Manager,Bogdan Stashchuk,4.6,537,2.5 total hours,41 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/understanding-npm/,"Understand and practice NPM. Learn how to use NPM in Node.js, how to install NPM packages, how to configure NPM scripts.",₹385,"₹8,320",Development,Web Development,Node.Js
