,Course Title,Instructor,Rating,No of students who gave rating,Hours to complete course,No of Lectures,Level,Image link,Course URL,Description,Discounted Price,Price,Category,Subcategory,Sub subcategory
425,"Master Electron: Desktop Apps with HTML, JavaScript & CSS",Ray Viljoen,4.6,"2,893",8 total hours,61 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/master-electron/,"The Complete Electron course for learning to build Cross Platform Desktop Apps using HTML, JavaScript & CSS",₹385,"₹8,640",Development,Web Development,Electron Framework
426,Build 15 Augmented Reality (AR) apps with Unity & Vuforia,Dinesh Tavasalkar,4.5,"2,890",18.5 total hours,163 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/develop-augmented-reality-book-ar-business-card-with-unity/,"Augmented reality (AR) tutorials on Markerless tracking, Cloud AR, 3D Object detection, + more with Unity & Vuforia",₹385,"₹8,640",Development,Game Development,Augmented Reality
427,Python Programming for Beginners in Data Science,Ajay Tech,4.4,"2,879",14 total hours,105 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/just-enough-python/,"This Python for beginners course teaches you ""just enough"" python  training online with Python 3 for Data Science",₹385,"₹3,200",Development,Programming Languages,Python
428,ChatBots: Messenger ChatBot - DialogFlow and nodejs,Jana Bergant,4.5,"2,876",9.5 total hours,119 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/chatbots/,Use DialogFlow to train chatbot to have dialogs. Develop backend app to connect chatbot to web services and databases,₹385,"₹8,640",Development,Web Development,Chatbot
429,Python Complete Masterclass for Beginners,"Mihai Catalin Teodosiu, EpicPython Academy",4.5,"2,858",30 total hours,416 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/pythontutorial/,"Learn Python including Excel/Database/Test/Network Automation, Data Analysis, Web Development, REST APIs, GraphQL & more",₹385,"₹1,280",Development,Programming Languages,Python
430,Electron for Desktop Apps: The Complete Developer's Guide,Stephen Grider,4.4,"2,855",8 total hours,78 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/electron-react-tutorial/,Use the Electron Framework to build compelling cross platform desktop applications with the latest web dev technologies,₹385,"₹3,200",Development,Web Development,Electron Framework
431,The Bootstrap 4 Bootcamp,Colt Steele,4.6,"2,854",11.5 total hours,87 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/bootstrap-4-bootcamp/,"Learn to build beautiful responsive websites with the latest Bootstrap version (4.1.3),  Flexbox, HTML5, and CSS3!",₹385,"₹8,640",Development,Web Development,Bootstrap
432,Deep Learning with Python and Keras,"Data Weekends, Jose Portilla, Francesco Mosconi",4.6,"2,831",10 total hours,148 lectures,Intermediate,https://img-c.udemycdn.com/course/240x135/1140660_7027_4.jpg,https://www.udemy.com/course/deep-learning-with-python-and-keras/,"Understand and build Deep Learning models for images, text  and more using Python and Keras",₹385,"₹8,640",Development,Data Science,Deep Learning
433,Statistics for Data Analysis Using Excel 2016,Sandeep Kumar ­,4.6,"2,830",14.5 total hours,114 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/statistics-using-excel/,Plain & Simple Lessons on Descriptive & Inferential Statistics Theory With Excel Examples for Business & Six Sigma,₹385,"₹8,640",Development,Data Science,Data Analysis
434,Java from Beginner to Expert,Arkadiusz Włodarczyk,4.4,"2,812",11 total hours,84 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/java-from-beginner-to-expert/,This Java course was created especially for beginners in Java. Learn Java from scratch. Become Java Expert!,₹385,"₹8,640",Development,Programming Languages,Java
435,Neo4j: GraphDB Foundations with Cypher,Louis Sayers,4.6,"2,805",4.5 total hours,76 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/neo4j-foundations/,"Learn what a graph database is, gain the fundamental skills to use Neo4j on your next project.",₹385,"₹3,520",Development,Database Design & Development,Neo4j
436,Learn Devops: Continuously Deliver Better Software,Edward Viaene,4.3,"2,797",4.5 total hours,74 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-devops-continuously-deliver-better-software/,"Excel in delivering and deploying software using Git, Vagrant, Chef, Ansible, Jenkins, Docker, and Kubernetes",₹385,"₹2,560",Development,Software Development Tools,DevOps
437,Python Beyond the Basics - Object-Oriented Programming,Infinite Skills,4.6,"2,788",5 total hours,55 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-beyond-the-basics-object-oriented-programming/,From Classes To Inheritance - OOP In-Depth For Python Programmers,₹385,"₹3,200",Development,Programming Languages,Object Oriented Programming
438,C Programming:The best approach to learn C Language,Insculpt Technologies,4.1,"2,787",5 total hours,72 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/c-programming-the-best-approach-to-learn-c-language/,Become a master of C Programming Language in an informal and practical way,₹385,"₹3,200",Development,Programming Languages,C (programming language)
439,Complete Python 3 Masterclass Journey,Jose Portilla,4.5,"2,775",10.5 total hours,108 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/complete-python-3-masterclass-journey/,Master Python 3! Use story based learning to go from a beginner to being able to create real programs with Python!,₹385,"₹8,640",Development,Programming Languages,Python
440,C# Developers: Double Your Coding Speed with Visual Studio ,Mosh Hamedani,4.4,"2,774",2.5 total hours,33 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/visual-studio-tips-tricks/,Fast Coding Techniques that Every C# Developer Must Know,₹385,"₹4,480",Development,Programming Languages,C#
441,LEARNING PATH: Complete Roadway to Informatica Powercenter 9,Packt Publishing,4.2,"2,766",5 total hours,69 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learning-path-complete-roadway-to-informatica-powercenter-9/,Sharpen your data warehousing skills by mastering the techniques of Informatica PowerCenter,₹385,"₹8,640",Development,Database Design & Development,Informatica PowerCenter
442,Learn HTML - For Beginners,YouAccel Training,4.3,"2,754",2.5 total hours,39 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-html-for-beginners/,Lean how to create web pages using HTML,₹385,"₹6,400",Development,Web Development,HTML
443,Windows Presentation Foundation Masterclass,"Tim Buchalka's Learn Programming Academy, Eduardo Rosas",4.5,"2,746",20.5 total hours,132 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/windows-presentation-foundation-masterclass/,"Leverage WPF with C# and XAML to build real world skills with Azure, REST, MVVM and Machine Learning",₹556,"₹6,400",Development,Programming Languages,Windows Presentation Foundation
444,PHP & MySQL - Certification Course for Beginners,YouAccel Training,4.3,"2,743",3.5 total hours,57 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/php-mysql-certification-course-for-beginners/,Learn to Build Database Driven Web Applications using PHP & MySQL,₹385,"₹8,640",Development,Web Development,PHP
445,The Complete Sass & SCSS Course: From Beginner to Advanced,"Joe Parys, Peter Sommerhoff, Joe Parys Support",4.4,"2,741",4 total hours,41 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/sasscourse/,No more cluttered CSS! Realize clean designs lightning-fast and without frustration using Sass & SCSS.,₹385,"₹8,640",Development,Web Development,Sass
446,Shader Development from Scratch for Unity with Cg,"Penny de Byl, Penny @Holistic3D.com",4.7,"2,722",10.5 total hours,77 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/unity-shaders/,Learn to program the graphics pipeline in Unity for creating unique visual surfaces for game objects.,₹385,"₹1,280",Development,Game Development,Unity
447,Build a Blockchain and a Cryptocurrency from Scratch,David Joseph Katz,4.7,"2,719",6.5 total hours,71 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/build-blockchain/,Build a blockchain and cryptocurrency. Discover the engineering ideas behind technologies like Bitcoin and Ethereum!,₹385,"₹8,640",Development,Software Engineering,Cryptocurrency
448,ISTQB Foundation Level 2021 Complete Training,"Tarek Roshdy, Nezam Academy",4.6,"2,722",13 total hours,155 lectures,Beginner,https://img-c.udemycdn.com/course/240x135/3292616_0a27_2.jpg,https://www.udemy.com/course/foundation-level-training/,The best way to prepare for the ISTQB Foundation Level Exam,₹385,"₹2,240",Development,Software Testing,ISTQB Certified Tester Foundation Level (CTFL)
449,Modern Web Scraping with Python using Scrapy Splash Selenium,Ahmed Rafik,4.7,"2,711",9 total hours,128 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/web-scraping-in-python-using-scrapy-and-splash/,"Become an expert in web scraping and web crawling using Python 3, Scrapy, Splash and Selenium 2nd EDITION (2021)",₹385,"₹1,920",Development,Programming Languages,Web Scraping
450,Apache Spark 2.0 with Java -Learn Spark from a Big Data Guru,"Tao W., James Lee, Level Up",4.4,"2,709",3.5 total hours,60 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/apache-spark-course-with-java/,Learn analyzing large data sets with Apache Spark by 10+ hands-on examples. Take your big data skills to the next level.,₹385,"₹8,640",Development,Software Development Tools,Apache Spark
451,Data Structures A-Z : Data Structures + Algorithms Bootcamp,Vinoth Parthasarathy,4.8,"2,708",7.5 total hours,87 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-structures-and-algorithms-the-complete-guide/,Become ace in data structures & algorithms & Crack the code interview by getting mastery in data structures & algorithms,₹385,"₹8,640",Development,Programming Languages,Data Structures
452,The Comprehensive 2021 Android Development Masterclass,"Paulo Dichone | Android, Java, Flutter Developer and Teacher",4.5,"2,709",49.5 total hours,388 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/android-development-java-android-studio-masterclass/,"Master Modern Android API's: ROOM Database, ML Kit Face Recognition, Firestore, Firebase, Maps and Android Studio IDE",₹556,"₹12,160",Development,Mobile Development,Android Development
453,The Rust Programming Language,Dmitri Nesteruk,4.3,"2,702",8.5 total hours,61 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/rust-lang/,"Learn a modern, powerful yet safe systems programming language!",₹385,"₹6,400",Development,Programming Languages,Rust (programming language)
454,Selenium WebDriver with C# for Beginners + Live Testing Site,Tod Vachev,4.5,"2,699",5 total hours,57 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/seleniumqa/,Selenium is the most popular tool to test websites! Join me and hundreds of students to learn Selenium Webdriver!,₹385,"₹8,640",Development,Software Testing,Selenium WebDriver
455,"Java from Zero to First Job - Practical Guide, 600+ examples","Andrii Piatakha, Learn IT University",4.5,"2,697",31 total hours,145 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/java-development-for-beginners-learnit/,"Learn Java from scratch and become Java Software Engineer: Basics, OOP, Interview questions, Git, Java Collections etc",₹385,"₹6,400",Development,Programming Languages,Java
456,MATLAB Master Class: Go from Beginner to Expert in MATLAB,Nouman Azam,4.5,"2,687",43 total hours,343 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/matlab-essentials-for-engineering-and-science-students/,"MATLAB programming,data analysis, visualization, reports generation, scripting, data Science, GUI's, regular expressions",₹385,"₹8,640",Development,Programming Languages,MATLAB
457,Go Bootcamp: Master Golang with 1000+ Exercises and Projects,"Jose Portilla, Inanc Gumus",4.4,"2,684",16 total hours,196 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-go-the-complete-bootcamp-course-golang/,Master and Deeply Understand Google's Go from Scratch with Illustrated In-Depth Tutorials & 1000+ Hands-On Exercises.,₹385,"₹8,640",Development,Programming Languages,Go (programming language)
458,Data Structure and  Algorithms Analysis - Job Interview,Dr. Hussein Alrubaye,4.2,"2,684",15.5 total hours,101 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-structure-and-algorithms-analysis/,"Write code run faster, use less memory and prepare for Software Engineer Interview with real interview questions",₹385,"₹1,280",Development,Programming Languages,Interviewing Skills
459,Introduction to Data Structures & Algorithms in Java,Raghavendra Dixit,4.6,"2,683",5 total hours,103 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/introduction-to-data-structures-algorithms-in-java/,Designed to help understand the fundamentals of DS & Algorithms really well. A must have for programming interviews.,₹385,"₹4,160",Development,Software Engineering,Java Algorithms
460,Intro to Data Science: Your Step-by-Step Guide To Starting,"Kirill Eremenko, Hadelin de Ponteves, Ligency Team",4.4,"2,674",5.5 total hours,42 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/intro-to-data-science/,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!",₹385,"₹8,640",Development,Data Science,Null
461,"JSP, Servlet, JSLT + Hibernate: A complete guide","StudyEasy Organisation, Chaand Sheikh",4.5,"2,649",13 total hours,144 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/jsp-servlet-free-course/,A JSP (Java server pages) & Servlet + Hibernate: Quick course,₹385,"₹8,320",Development,Web Development,JSP
462,Kotlin for Android: Beginner to Advanced,Devslopes by Mark Wahlbeck,4.1,"2,644",23 total hours,101 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/devslopes-android-kotlin/,"Kotlin is an expressive, concise & powerful development language on Android. Learn everything you need to know to start",₹556,"₹12,160",Development,Mobile Development,Kotlin
463,Kotlin for Java Developers,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",4.5,"2,644",17 total hours,90 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/kotlin-for-java-developers/,"Use your Java skills to learn Kotlin fast. Enhance career prospects and master Kotlin, including Java interoperability",₹385,"₹6,400",Development,Programming Languages,Kotlin
464,"Complete Guide to Protocol Buffers 3 [Java, Golang, Python]","Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,"2,647",3.5 total hours,69 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/protocol-buffers/,Google Protobuf with examples and exercises. Code in Java Go Python. Say Goodbye to JSON & XML. Pre-req to gRPC,₹385,"₹6,400",Development,Programming Languages,Data Storage
465,Reactive Angular Course (with RxJs),Angular University,4.6,"2,631",5.5 total hours,41 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/rxjs-reactive-angular-course/,"Build Angular 12 Applications in Reactive style with plain RxJs - Patterns, Anti-Patterns, Lightweight State Management",₹385,"₹8,640",Development,Web Development,RxJs
466,Monitoring and Alerting with Prometheus,"Edward Viaene, Jorn Jambers",4.3,"2,624",4 total hours,37 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/monitoring-and-alerting-with-prometheus/,"Become a DevOps monitoring expert using Prometheus and Grafana, monitor your infrastructure and applications as a pro.",₹385,"₹1,600",Development,Software Development Tools,Prometheus Software
467,AWS Certified Machine Learning Specialty (MLS-C01),Chandra Lingam,4.6,"2,616",17.5 total hours,240 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,Hands on AWS SageMaker Course with Practice Test,₹385,"₹8,640",Development,Data Science,Machine Learning
468,Build a Social Network from Scratch: JavaScript PHP + MySQL,Reece Kenney,4.5,"2,611",17 total hours,180 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/make-a-social-media-website/,"Learn JavaScript, PHP and MySQL by building the ultimate social network website from scratch! The complete guide!",₹556,"₹3,200",Development,Web Development,PHP
469,Learn Python: Python for Beginners,Abrar Hussain,4.3,"2,598",1.5 total hours,27 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-python/,Python introduction for beginners. Learn complete Python from scratch!,₹385,"₹1,920",Development,Programming Languages,Python
470,Modern Deep Learning in Python,Lazy Programmer Inc.,4.6,"2,595",11.5 total hours,90 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS.",₹385,"₹8,640",Development,Data Science,Deep Learning
471,Flutter & Firebase: Build a Complete App for iOS & Android,Andrea Bizzotto,4.6,"2,584",21 total hours,411 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/flutter-firebase-build-a-complete-app-for-ios-android/,"Learn Dart, Flutter & Firebase by Google, and build a real-world, production ready app",₹556,"₹12,160",Development,Mobile Development,Google Flutter
472,Learn Core JAVA Programming - Beginner to Master,Abdul Bari,4.7,"2,569",61.5 total hours,333 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/java-se-programming/,Deep Dive in Core Java programming -Standard Edition. A Practical approach to learn Java. Become a Java Expert,₹385,"₹8,640",Development,Programming Languages,Java
473,The Full Stack Web Development,"Eduonix Learning Solutions, Eduonix-Tech ., Samy Eduonix",4.4,"2,564",33 total hours,208 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-full-stack-web-development/,Learn Full Stack Web Development Building Over 40+ Projects,₹385,"₹3,840",Development,Web Development,Null
474,"Docker - Introducing Docker Essentials, Containers, and more",David Joseph Katz,4.3,"2,556",6 total hours,47 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/docker-containers/,"Create and run Docker containers, and build multi-container applications. Compose, Networks, Swarm, Cloud, & more!",₹385,"₹8,640",Development,Software Engineering,Docker
475,Python Programming From A-Z: Beginner To Expert Course,"Juan E. Galvan, Ahmed Wael",4.4,"2,555",16 total hours,156 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-python-programming-from-a-z/,"Become a professional Python programmer and learn how to easily create programs, apps, scripts, games and so much more!",₹385,"₹8,640",Development,Programming Languages,Python
476,Selenium WebDriver MasterClass (Basic + Advance + Architect),LevelUp360° DevOps,4.5,"2,550",48 total hours,226 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/selenium-webdriver-web-based-automation-testing/,Java Selenium WebDriver with Framework Designing from Scratch using TestNG POM DataDriver Selenium Frameworks Cucumber,₹385,"₹8,640",Development,Software Testing,Selenium WebDriver
477,Standard 9.1- Part 2 Certified Enterprise Architect Course,"Scott Duffy  • 550.000+ Students, Software Architect.ca",4.3,"2,550",2.5 total hours,31 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/togaf-part2/,Learn about the TOGAF 9.1 Standard and prepare for the certification Level 2 Certified.,₹385,"₹8,000",Development,Software Engineering,TOGAF 9 Certified
478,Selenium WebDriver with Java | Project Implement + Framework,T World,4.3,"2,549",41 total hours,368 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/selenium-with-java/,"Selenium Webdriver Automation Testing, BDD/ Cucumber framework, End to End integration with Jenkins, Katalon Studio",₹385,"₹8,640",Development,Software Testing,Selenium Testing Framework
479,C Programming Step by Step - Complete Tutorial For Beginners,Shibaji Paul,4.4,"2,547",17.5 total hours,153 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/c-for-technical-interview/,"C language tutorial from basics with C operator,loop,array,pointer,function,parameter,string,recursion,structure,file.",₹385,"₹8,640",Development,Programming Languages,C (programming language)
480,Learn To Code By Making a 2D Platformer in Unity,James Doyle,4.8,"2,544",13 total hours,84 lectures,Beginner,https://img-c.udemycdn.com/course/240x135/775550_453b_3.jpg,https://www.udemy.com/course/unity2dplatformer/,Game development made easy. Learn C# using Unity and create your very own 2D Platformer,₹385,"₹2,240",Development,Game Development,Unity
481,Artificial Intelligence for Business,"Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team",4.5,"2,543",15 total hours,118 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ai-for-business/,Solve Real World Business Problems with AI Solutions,₹385,"₹8,640",Development,Data Science,Artificial Intelligence
482,Introduction to Natural Language Processing (NLP),Brian Sacash,4.3,"2,543",3 total hours,41 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/natural-language-processing/,Learn how to analyze text data.,₹385,"₹6,400",Development,Data Science,Natural Language Processing
483,Docker for Java Developers,John Thompson,4.5,"2,541",10.5 total hours,105 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/docker-for-java-developers/,Learn how you can use Docker to supercharge your enterprise Java Development!,₹385,"₹8,640",Development,Software Engineering,Docker
484,Machine Learning with Javascript,Stephen Grider,4.6,"2,537",17.5 total hours,187 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/machine-learning-with-javascript/,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects.,₹385,"₹8,640",Development,Data Science,Machine Learning
485,"React JS, Angular & Vue JS - Quickstart & Comparison","Maximilian Schwarzmüller, Academind by Maximilian Schwarzmüller",4.7,"2,535",8 total hours,144 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/angular-reactjs-vuejs-quickstart-comparison/,"Angular (Angular 2+), React or Vue? Get a Crash Course on each of them and a detailed comparison!",₹385,"₹8,640",Development,Web Development,Vue JS
486,Next.js & React - The Complete Guide (incl. Two Paths!),"Maximilian Schwarzmüller, Academind by Maximilian Schwarzmüller",4.8,"2,545",25 total hours,270 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/nextjs-react-the-complete-guide/,"Learn NextJS from the ground up and build production-ready, fullstack ReactJS apps with the NextJS framework!",₹385,"₹8,640",Development,Web Development,Next.js
487,R Programming For Absolute Beginners,Bogdan Anastasiei,4.6,"2,532",9.5 total hours,119 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/r-programming-course-for-absolute-beginners/,Learn the basics of writing code in R - your first step to become a data scientist,₹385,"₹2,560",Development,Data Science,R (programming language)
